Año,Fecha (dd/mm/aaaa),TRM,Día del mes,Mes,Id Mes
2023,2023-05-08,"4552,56",8,Mayo,5
2023,2023-05-07,"4552,56",7,Mayo,5
2023,2023-05-06,"4552,56",6,Mayo,5
2023,2023-05-05,"4616,58",5,Mayo,5
2023,2023-05-04,"4667,09",4,Mayo,5
2023,2023-05-03,"4713,08",3,Mayo,5
2023,2023-05-02,4669,2,Mayo,5
2023,2023-05-01,4669,1,Mayo,5
2023,2023-04-30,4669,30,Abril,4
2023,2023-04-29,4669,29,Abril,4
2023,2023-04-28,"4654,14",28,Abril,4
2023,2023-04-27,"4552,59",27,Abril,4
2023,2023-04-26,"4486,6",26,Abril,4
2023,2023-04-25,"4482,45",25,Abril,4
2023,2023-04-24,"4523,64",24,Abril,4
2023,2023-04-23,"4523,64",23,Abril,4
2023,2023-04-22,"4523,64",22,Abril,4
2023,2023-04-21,"4535,78",21,Abril,4
2023,2023-04-20,"4532,43",20,Abril,4
2023,2023-04-19,"4473,07",19,Abril,4
2023,2023-04-18,"4431,45",18,Abril,4
2023,2023-04-17,"4425,27",17,Abril,4
2023,2023-04-16,"4425,27",16,Abril,4
2023,2023-04-15,"4425,27",15,Abril,4
2023,2023-04-14,"4424,02",14,Abril,4
2023,2023-04-13,"4458,87",13,Abril,4
2023,2023-04-12,"4516,76",12,Abril,4
2023,2023-04-11,"4564,24",11,Abril,4
2023,2023-04-10,"4570,91",10,Abril,4
2023,2023-04-09,"4570,91",9,Abril,4
2023,2023-04-08,"4570,91",8,Abril,4
2023,2023-04-07,"4570,91",7,Abril,4
2023,2023-04-06,"4570,91",6,Abril,4
2023,2023-04-05,"4587,31",5,Abril,4
2023,2023-04-04,4603,4,Abril,4
2023,2023-04-03,"4646,08",3,Abril,4
2023,2023-04-02,"4646,08",2,Abril,4
2023,2023-04-01,"4646,08",1,Abril,4
2023,2023-03-31,"4627,27",31,Marzo,3
2023,2023-03-30,"4627,63",30,Marzo,3
2023,2023-03-29,"4658,79",29,Marzo,3
2023,2023-03-28,"4686,83",28,Marzo,3
2023,2023-03-27,"4741,76",27,Marzo,3
2023,2023-03-26,"4741,76",26,Marzo,3
2023,2023-03-25,"4741,76",25,Marzo,3
2023,2023-03-24,"4755,12",24,Marzo,3
2023,2023-03-23,"4776,09",23,Marzo,3
2023,2023-03-22,"4804,29",22,Marzo,3
2023,2023-03-21,"4824,25",21,Marzo,3
2023,2023-03-20,"4824,25",20,Marzo,3
2023,2023-03-19,"4824,25",19,Marzo,3
2023,2023-03-18,"4824,25",18,Marzo,3
2023,2023-03-17,"4866,5",17,Marzo,3
2023,2023-03-16,"4835,51",16,Marzo,3
2023,2023-03-15,"4736,03",15,Marzo,3
2023,2023-03-14,"4769,76",14,Marzo,3
2023,2023-03-13,"4748,14",13,Marzo,3
2023,2023-03-12,"4748,14",12,Marzo,3
2023,2023-03-11,"4748,14",11,Marzo,3
2023,2023-03-10,"4748,61",10,Marzo,3
2023,2023-03-09,"4755,59",9,Marzo,3
2023,2023-03-08,"4744,95",8,Marzo,3
2023,2023-03-07,"4734,42",7,Marzo,3
2023,2023-03-06,"4780,89",6,Marzo,3
2023,2023-03-05,"4780,89",5,Marzo,3
2023,2023-03-04,"4780,89",4,Marzo,3
2023,2023-03-03,"4855,83",3,Marzo,3
2023,2023-03-02,"4848,78",2,Marzo,3
2023,2023-03-01,"4814,11",1,Marzo,3
2023,2023-02-28,"4808,14",28,Febrero,2
2023,2023-02-27,"4849,65",27,Febrero,2
2023,2023-02-26,"4849,65",26,Febrero,2
2023,2023-02-25,"4849,65",25,Febrero,2
2023,2023-02-24,"4853,9",24,Febrero,2
2023,2023-02-23,"4924,91",23,Febrero,2
2023,2023-02-22,"4950,33",22,Febrero,2
2023,2023-02-21,"4918,94",21,Febrero,2
2023,2023-02-20,"4918,94",20,Febrero,2
2023,2023-02-19,"4918,94",19,Febrero,2
2023,2023-02-18,"4918,94",18,Febrero,2
2023,2023-02-17,"4966,33",17,Febrero,2
2023,2023-02-16,"4878,24",16,Febrero,2
2023,2023-02-15,"4783,24",15,Febrero,2
2023,2023-02-14,"4818,62",14,Febrero,2
2023,2023-02-13,"4777,73",13,Febrero,2
2023,2023-02-12,"4777,73",12,Febrero,2
2023,2023-02-11,"4777,73",11,Febrero,2
